date,figure,panel,request_source,change_type,change_summary,scientific_impact,files_changed,approved_by,status
2026-07-22,Figure1,D,Implementation,Major redesign,"Replaced the crowded main-panel 3x3 grid with one 19dpb overview and three territory enlargements","Makes unepithelialized, front and newly epithelialized patterns readable; detailed state maps reserved for S1G","scripts/Figure1D_layout.py; outputs/panels/Figure1D_v01.svg",,Ready for review
2026-07-22,Figure1,E-F,Implementation,Recompute,"Recomputed five Scanpy gene-set scores on exactly 387061 bins from the registered 11 sections; rebuilt E with a shared scale and F with section-level points","Removes 6/9mph scope drift and bin-level pseudoreplication; exposes non-synchronous process trajectories","scripts/Figure1EF_compute_scores.py; scripts/Figure1E_layout.py; scripts/Figure1F_temporal.py; source_data/Figure1EF_score_provenance.json; source_data/Figure1F_section_level_scores.csv",,Ready for review
2026-07-22,Figure1,All,Implementation,A4 assembly,"Assembled panels A-F on one 210x297mm page with 10mm margins and editable SVG/PDF masters","Provides a Cell-style review proof with consistent Arial typography and documented raster/vector boundaries","scripts/assemble_Figure1.py; outputs/panels/Figure1_A4_v01.svg; outputs/panels/Figure1_A4_v01.pdf; outputs/raster/Figure1_A4_v01_600dpi.tiff",,Ready for review
2026-07-22,FigureS1,A-G,Author instruction,Content freeze,"Retained the approved A-G panel definitions without adding, removing, renaming or reassigning panels","Prevents panel/legend drift during final supplementary-figure assembly","supplements/FigureS1/scripts/assemble_figure_s1.py; supplements/FigureS1/legends/FigureS1_legend_Cell_final_v01.md",Author,Implemented
2026-07-22,FigureS1,A-G,Implementation,Cell-final layout,"Reassembled Figure S1 as three A4 landscape pages: A-C; D; E-G. Four representative sections are shown in S1E and the all-11 panel is retained as extended QC","Maintains the 6 pt readability floor without changing scientific panel content","supplements/FigureS1/outputs/assembled/FigureS1_Cell_final_v01.pdf; supplements/FigureS1/outputs/panels",,Ready for review
2026-07-22,TableS1,All,Implementation,Cell-final workbook,"Preserved eight approved worksheets; aligned counts, 11-section scope, detected genes, scoring parameters and marker-support terminology with finalized Figure1/S1","Removes Figure1/TableS1 terminology drift while preserving source data and unresolved clinical metadata flags","supplements/TableS1/outputs/Table_S1_Cell_final_v01.xlsx; supplements/TableS1/QC",,Ready for review
2026-07-22,Figure1,A,Author review,Label correction,"Replaced Mode 1 shallow/start and deep/unhealed wording with Superficial and Deep; added two-line mode-position labels to H&E","Aligns morphology terminology with author instruction and prevents crowded labels","scripts/Figure1A_layout.py; outputs/panels/Figure1A_v02.svg",Author,Implemented
2026-07-22,Figure1,B,Author review,Data regeneration,"Regenerated the 279305-cell UMAP directly from X_umap and sub_labels and added matched color swatches to the 47-state numbered key","Restores the established cluster colors and removes dependence on a PPT raster","scripts/Figure1B_layout.py; scripts/figure1_data_plot_utils.py; outputs/panels/Figure1B_v02.svg",Author,Implemented
2026-07-22,Figure1,C-D,Author review,Data regeneration,"Regenerated spatial maps directly from per-section H5AD objects with equal axes aspect; standardized scale bars and added Mode spatial-position labels","Removes geometric stretching and ties spatial morphology to the four-mode framework","scripts/Figure1C_layout.py; scripts/Figure1D_layout.py; outputs/panels/Figure1C_v02.svg; outputs/panels/Figure1D_v02.svg",Author,Implemented
2026-07-22,Figure1,F,Author review,Statistics,"Added section-level two-sided Kruskal-Wallis omnibus tests and exact source table; all five results are ns","Adds valid inferential reporting without bin-level pseudoreplication or invented significance","scripts/Figure1F_temporal.py; source_data/Figure1F_Kruskal_Wallis.csv",Author,Implemented
2026-07-22,Figure1,All,Author review,Aspect-ratio correction,"Rebuilt the A4 composite using nested SVG viewBoxes and preserveAspectRatio=xMidYMid meet","Ensures programmatic plots are scaled proportionally in the final page and GitHub output","scripts/assemble_Figure1.py; outputs/assembled/Figure1_A4_v02.*",Author,Implemented
2026-07-22,Figure1/FigureS1,C-D/E-G,Author review,Spatial rotation correction,"Applied the exact config_wound angles and source rotation matrix without the unintended post-rotation y-axis inversion; re-rendered Figure1C-D and linked FigureS1E-G directly from H5AD coordinates","Restores registered tissue orientation consistently across the main and supplementary figures","scripts/figure1_data_plot_utils.py; scripts/Figure1C_layout.py; scripts/Figure1D_layout.py; ../../Figure1_Supplement_QC_20260721/fix_spatial_rotation.py",Author,Implemented
2026-07-22,FigureS1,A-G,Author review,Single-page Cell-final rebuild,"Recomputed and assembled all approved A-G panels on one A4 portrait page with Arial 6-12 pt text and 3.5 mm gaps; removed the prior three-page landscape layout","Meets the author-specified single-page supplementary-figure format without changing panel definitions","supplements/FigureS1/scripts/build_figure_s1_single_a4.py; supplements/FigureS1/outputs/vector/FigureS1_Cell_final_v02.pdf",Author,Implemented
2026-07-22,TableS1,All,Author review,Legend-locked workbook rebuild,"Rebuilt the v02 workbook with exact legend text, sampling-site field, corrected source registry, 47-state markers, mapping parameters and Figure1E-F gene sets; rendered and reopened all sheets","Aligns Table S1 content and terminology with Figure1/FigureS1 while preserving missing-metadata flags","supplements/TableS1/work/build_table_s1_v02.mjs; supplements/TableS1/outputs/Table_S1_Cell_final_v02.xlsx",Author,Implemented
